A_type,A_params,B_type,B_params,sliced_pca,sliced_pca_time,gromov_wasserstein,gromov_wasserstein_time,standard_ot,standard_ot_time,procrustes_ot,procrustes_ot_time,diffusion_k10_t0,diffusion_k10_t0_time,diffusion_k10_t1,diffusion_k10_t1_time,sw_proj100,sw_proj100_time,sw_proj1000,sw_proj1000_time,sw_proj10000,sw_proj10000_time
normal,"{'mean': array([ 2., -2.])}",normal,"{'mean': array([1., 1.])}",0.18321746068837322,0.0,0.40513127058981,0.026122570037841797,1.8568026211959898,0.0,0.5793931563162423,0.0,0.1120138789317756,0.021302461624145508,0.20685179212994462,0.0175628662109375,2.305195073071864,0.005440950393676758,2.429764200311234,0.02232503890991211,2.439320827703561,0.24512672424316406
normal,"{'mean': array([ 2., -2.])}",normal,"{'mean': array([ 2., -2.])}",0.15146600835115767,0.016426801681518555,0.3697685776994499,0.03249812126159668,0.5852087823925867,0.0,0.567882128080106,0.0,0.11146051360381984,0.015145540237426758,0.09229163461087056,0.021285295486450195,0.18317373880465282,0.0020096302032470703,0.1903913442560737,0.023770570755004883,0.19113251749329005,0.22308802604675293
normal,"{'mean': array([ 2., -2.])}",normal,"{'mean': array([0., 0.]), 'cov': array([[1, 0],
       [0, 4]])}",0.6078886363566666,0.0008900165557861328,1.125409255922041,0.03984808921813965,1.6799796222585361,0.0,0.8718370664513516,0.026312589645385742,0.19343026200395236,0.02258133888244629,0.29534888768167483,0.02211785316467285,1.914601359873829,0.003185749053955078,2.018877124600725,0.025890111923217773,2.0282077675620025,0.25977635383605957
normal,"{'mean': array([ 2., -2.])}",normal,"{'mean': array([0., 0.]), 'cov': array([[2., 0.],
       [0., 2.]])}",0.31770468884103636,0.0,0.6668871648664706,0.018462419509887695,1.7280562785836107,0.0,0.6935367137498282,0.0,0.11628025741817077,0.027192354202270508,0.1321957327583205,0.018051624298095703,1.9874676752373295,0.0030975341796875,2.090127101862926,0.0232546329498291,2.0998799724557804,0.2435450553894043
normal,"{'mean': array([ 2., -2.])}",normal,"{'mean': array([0., 0.]), 'angle': 0.7853981633974483}",0.15314918431996805,0.0,0.42225090596494097,0.01671433448791504,1.6898658118371654,0.0,0.5523151674765999,0.0050699710845947266,0.14316871435213196,0.015923261642456055,0.17607844937647066,0.015421867370605469,1.889447939459957,0.00442814826965332,1.9971306180986468,0.026299238204956055,2.0071124734054115,0.2371232509613037
normal,"{'mean': array([ 2., -2.])}",swissroll,{},5.260069558179625,0.011053323745727539,10.494910712152242,0.033086299896240234,3.5808390470623244,0.0,2.6160174927809807,0.01038503646850586,0.16145410082319317,0.020977020263671875,0.21959756339152095,0.025266170501708984,9.390745252414357,0.0037658214569091797,9.504783121348945,0.02094292640686035,9.51008049460059,0.2334744930267334
normal,"{'mean': array([0., 0.]), 'cov': array([[1, 0],
       [0, 4]])}",banana,{'phase': 0.0},0.8855121914472757,0.0,1.7714535515657357,0.023978233337402344,1.4642285719852632,0.0,1.0728900877115888,0.008469343185424805,0.20204166177289404,0.02147364616394043,0.2732874243114014,0.0035402774810791016,1.5759994707390135,0.012282133102416992,1.5572853881515911,0.024756431579589844,1.5551359168652048,0.2303001880645752
normal,"{'mean': array([0., 0.]), 'cov': array([[1, 0],
       [0, 4]])}",banana,{'phase': 0.2},0.8721667773823953,0.0068781375885009766,1.7413532910826668,0.024898767471313477,1.4983346013033418,0.0,1.0792717835560646,0.01040792465209961,0.19668300327845195,0.016501426696777344,0.25870259076196295,0.02875971794128418,1.6755792259599875,0.0020089149475097656,1.6370761012354962,0.01663804054260254,1.633109645154487,0.23152732849121094
normal,"{'mean': array([0., 0.]), 'cov': array([[1, 0],
       [0, 4]])}",banana,{'phase': 1.0},0.9727754604159276,0.006203651428222656,1.85324064001559,0.018321514129638672,1.5226157519658237,0.0,1.0775925399197743,0.0,0.21780485767783206,0.0185396671295166,0.45889903630249024,0.015872716903686523,1.7487125115049733,0.0028586387634277344,1.708249930077761,0.020769596099853516,1.705154312782859,0.21683120727539062
normal,"{'mean': array([0., 0.]), 'cov': array([[1, 0],
       [0, 4]])}",cylinder,{'angle': 0.0},1.1283153697369819,0.0,2.0417656858368733,0.014681339263916016,OT: Feature dimension mismatch: 2 vs 3,,"Procrustes: Shape mismatch (100, 2) vs (100, 3)",,0.3706214249160838,0.024225234985351562,0.49384974995102326,0.017284154891967773,SW: Feature dimension mismatch: 2 vs 3,,SW: Feature dimension mismatch: 2 vs 3,,SW: Feature dimension mismatch: 2 vs 3,
