X_id,Y_id,metric,mean_rel_change,std_rel_change,snr_a,total_time,D_baseline,rel_changes
torus_295,normal_163,Standard Sliced Wasserstein,0.035103406140061647,0.0,,3.5739989280700684,0.7895541050399177,[0.03510341]
torus_295,normal_163,RISWIE-PCA,0.05911814473258255,0.0,,0.2774651050567627,1.1290720232318872,[0.05911814]
torus_170,banana_52,Standard Sliced Wasserstein,0.07373836773213996,0.0,,3.549751043319702,0.22168437273114827,[0.07373837]
torus_170,banana_52,RISWIE-PCA,0.005288770928478291,0.0,,0.2790803909301758,0.8252759992794553,[0.00528877]
cylinder_69,cylinder_145,Standard Sliced Wasserstein,6.578934902158633,0.0,,3.6461596488952637,0.0072984384336474434,[6.5789349]
cylinder_69,cylinder_145,RISWIE-PCA,1.0294527829578595,0.0,,0.2896709442138672,0.041211782324788435,[1.02945278]
torus_100,banana_77,Standard Sliced Wasserstein,0.24048405643079607,0.0,,3.528825044631958,0.09726609921593238,[0.24048406]
torus_100,banana_77,RISWIE-PCA,0.0075367719336148315,0.0,,0.35506415367126465,0.485588597544677,[0.00753677]
banana_295,normal_79,Standard Sliced Wasserstein,0.05649122826294394,0.0,,3.6654293537139893,0.9184044810178915,[0.05649123]
banana_295,normal_79,RISWIE-PCA,0.06569087521559441,0.0,,0.28188633918762207,1.16013721287884,[0.06569088]
cylinder_152,torus_168,Standard Sliced Wasserstein,0.2139323905878156,0.0,,3.723172187805176,0.06801826119310675,[0.21393239]
cylinder_152,torus_168,RISWIE-PCA,0.020540695372031563,0.0,,0.2617919445037842,0.2784894501800035,[0.0205407]
normal_108,banana_114,Standard Sliced Wasserstein,0.005965548424003544,0.0,,3.8441596031188965,0.8925610563138434,[0.00596555]
normal_108,banana_114,RISWIE-PCA,0.00511302780976075,0.0,,0.2658519744873047,1.1271372941103224,[0.00511303]
gaussian_mixture_226,cylinder_2,Standard Sliced Wasserstein,0.0002610941588409917,0.0,,3.565854072570801,4.066004974075156,[0.00026109]
gaussian_mixture_226,cylinder_2,RISWIE-PCA,1.761217753684137e-05,0.0,,0.2645559310913086,13.932957186714809,[1.76121775e-05]
gaussian_mixture_95,gaussian_mixture_17,Standard Sliced Wasserstein,0.00022593466541923475,0.0,,3.5889360904693604,1.9427908945560406,[0.00022593]
gaussian_mixture_95,gaussian_mixture_17,RISWIE-PCA,0.0005603509762940101,0.0,,0.26139211654663086,7.034273692218336,[0.00056035]
normal_211,banana_158,Standard Sliced Wasserstein,0.005987074804143631,0.0,,3.716367721557617,0.9126269470958327,[0.00598707]
normal_211,banana_158,RISWIE-PCA,0.005019479272067668,0.0,,0.27013540267944336,1.142725216998512,[0.00501948]
swissroll_126,normal_128,Standard Sliced Wasserstein,0.07490446896109097,0.0,,3.782771348953247,0.6497355430205347,[0.07490447]
swissroll_126,normal_128,RISWIE-PCA,0.11696495921599215,0.0,,0.2575798034667969,0.9699658637558909,[0.11696496]
normal_61,torus_23,Standard Sliced Wasserstein,0.006938025432604688,0.0,,3.5998196601867676,0.7571172104281139,[0.00693803]
normal_61,torus_23,RISWIE-PCA,0.003650720854950949,0.0,,0.2678091526031494,1.1697677678353018,[0.00365072]
cylinder_64,gaussian_mixture_246,Standard Sliced Wasserstein,0.009035832567477156,0.0,,3.6711018085479736,4.43366311694812,[0.00903583]
cylinder_64,gaussian_mixture_246,RISWIE-PCA,0.002149759336826549,0.0,,0.26905369758605957,15.448037707701246,[0.00214976]
swissroll_189,banana_268,Standard Sliced Wasserstein,0.7395146289702483,0.0,,3.732128143310547,0.04296701283465121,[0.73951463]
swissroll_189,banana_268,RISWIE-PCA,0.030020759864888245,0.0,,0.25982046127319336,0.26583775943785476,[0.03002076]
cylinder_253,cylinder_251,Standard Sliced Wasserstein,1.0252241716936485,0.0,,4.162773370742798,0.021614907098144186,[1.02522417]
cylinder_253,cylinder_251,RISWIE-PCA,0.27975638597978825,0.0,,0.2650187015533447,0.08188147095949998,[0.27975639]
normal_137,swissroll_150,Standard Sliced Wasserstein,0.006009610843059668,0.0,,3.5649008750915527,0.9067562278292152,[0.00600961]
normal_137,swissroll_150,RISWIE-PCA,0.005795617817964434,0.0,,0.24350523948669434,1.1489459906004964,[0.00579562]
gaussian_mixture_87,gaussian_mixture_195,Standard Sliced Wasserstein,8.90773764175477e-06,0.0,,3.5154809951782227,2.6767675216527445,[8.90773764e-06]
gaussian_mixture_87,gaussian_mixture_195,RISWIE-PCA,0.00020889382567428245,0.0,,0.26910853385925293,12.506351173428376,[0.00020889]
swissroll_70,banana_229,Standard Sliced Wasserstein,0.9466323088075235,0.0,,3.579913377761841,0.03838769256537877,[0.94663231]
swissroll_70,banana_229,RISWIE-PCA,0.0337135239372465,0.0,,0.2773125171661377,0.2222255299048432,[0.03371352]
gaussian_mixture_10,swissroll_188,Standard Sliced Wasserstein,0.0002292144616590523,0.0,,3.5971338748931885,4.7590712295052695,[0.00022921]
gaussian_mixture_10,swissroll_188,RISWIE-PCA,3.496595368657452e-07,0.0,,0.255465030670166,16.521521146548817,[3.49659537e-07]
gaussian_mixture_282,swissroll_102,Standard Sliced Wasserstein,0.00045493213503912123,0.0,,3.6007726192474365,3.1718918635393965,[0.00045493]
